Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,19970101,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.20,0.10,0.10,0.10,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00
CO,010102,St Johns,NL,47.56038,-52.7115,19970102,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.30,0.20,0.30,0.30,0.30,0.20,0.30,0.40,0.30,0.20,0.20,0.20,0.20,0.10,0.10,0.10,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,19970103,0.10,0.00,0.10,0.20,0.20,1.10,1.40,1.00,0.60,1.00,0.60,1.30,1.50,1.00,1.80,0.90,0.60,1.00,1.00,1.10,0.70,0.60,1.00,1.20
CO,010102,St Johns,NL,47.56038,-52.7115,19970104,0.90,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.10,0.10,0.20,0.40,0.30,0.10,0.10,0.10,0.20,0.10,0.20,0.20,0.10,0.20,0.80
CO,010102,St Johns,NL,47.56038,-52.7115,19970105,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.10,0.10,0.20,0.20,0.30,0.30,0.20,0.10,0.10,0.20,0.10,0.10,0.10,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,19970106,0.10,0.00,0.00,0.10,0.20,0.60,0.70,0.40,0.30,0.40,0.40,0.90,0.60,0.40,0.60,0.30,0.10,0.20,0.40,0.90,0.60,0.20,0.10,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,19970107,0.10,0.00,0.00,0.00,0.10,0.30,0.30,0.20,0.20,0.20,0.30,0.40,0.30,0.40,0.70,0.50,0.60,0.50,0.50,0.50,0.40,0.30,0.20,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,19970108,0.10,0.10,0.10,0.20,0.30,1.50,2.10,0.50,0.30,0.40,0.30,0.30,0.40,0.40,0.40,0.20,0.30,0.30,0.30,0.30,0.30,0.40,0.20,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,19970109,0.20,0.10,0.10,0.20,0.60,0.80,0.70,0.50,0.60,0.60,0.70,0.80,0.70,0.80,1.00,0.40,0.40,0.30,0.50,0.40,0.40,0.20,0.20,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,19970110,0.10,0.10,0.10,0.10,0.10,0.30,0.30,0.40,0.30,0.50,0.40,0.50,0.80,1.00,0.90,0.60,0.70,2.00,0.80,1.40,1.40,1.00,1.40,1.20
CO,010102,St Johns,NL,47.56038,-52.7115,19970111,0.80,0.40,0.10,0.00,0.10,0.10,0.20,0.20,0.20,0.30,0.30,0.30,0.40,0.40,0.30,0.30,0.30,0.40,0.40,0.30,0.40,0.50,0.20,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,19970112,0.20,0.10,0.10,0.10,0.10,0.20,0.70,0.70,0.40,0.40,0.40,0.40,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.20,0.20,0.20,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,19970113,0.10,0.10,0.10,0.10,0.20,0.60,0.40,0.40,0.40,0.40,0.30,0.30,0.50,0.60,0.90,0.70,0.40,0.50,0.40,0.30,0.20,0.20,0.10,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,19970114,0.10,0.10,0.00,0.00,0.00,0.30,0.60,0.30,0.30,0.40,0.50,0.40,0.50,1.10,2.60,1.80,0.90,0.90,0.30,0.40,0.40,0.20,0.10,0.00
CO,010102,St Johns,NL,47.56038,-52.7115,19970115,0.00,0.00,0.00,0.00,0.10,0.30,0.20,0.20,0.10,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,19970116,0.00,0.00,0.00,0.00,0.20,1.20,1.50,0.50,0.30,0.40,0.40,0.30,0.30,0.30,0.50,0.40,0.30,0.20,0.20,0.20,0.10,0.10,0.10,0.10
CO,010102,St Johns,NL,47.56038,-52.7115,19970117,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.20,0.10,0.10,0.20,0.20,0.10,0.10,0.10,0.20,0.30,0.30,0.20,0.10,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,19970118,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.20,0.30,0.40,0.50,0.60,1.10,1.00,1.30,1.50,1.70,0.50,0.20,0.20
