Pollutant:, PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:, µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,Zeros are valid. -999 denotes no data available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
PM10,40203,Saint John,NB,45.308762,-66.008384,19970101,2,1,5,7,11,14,9,6,5,2,10,5,8,5,34,42,20,12,25,8,7,8,6,7
PM10,40203,Saint John,NB,45.308762,-66.008384,19970102,9,1,3,6,8,2,5,5,5,12,11,12,19,13,6,7,7,11,7,6,8,8,8,8
PM10,40203,Saint John,NB,45.308762,-66.008384,19970103,6,3,-999,4,6,2,6,4,6,4,8,7,7,9,8,7,6,10,9,14,8,9,12,15
PM10,40203,Saint John,NB,45.308762,-66.008384,19970104,8,12,11,13,9,11,11,12,9,14,10,13,7,9,6,8,10,18,23,17,8,16,26,19
PM10,40203,Saint John,NB,45.308762,-66.008384,19970105,15,12,9,8,9,11,9,11,10,11,12,16,13,21,7,8,7,10,10,5,7,3,2,2
PM10,40203,Saint John,NB,45.308762,-66.008384,19970106,3,3,3,4,6,3,3,3,7,7,7,6,9,9,5,6,10,17,7,7,6,8,6,6
PM10,40203,Saint John,NB,45.308762,-66.008384,19970107,2,2,4,0,3,3,5,5,2,3,3,7,6,6,3,9,6,3,3,7,5,6,8,5
PM10,40203,Saint John,NB,45.308762,-66.008384,19970108,9,4,-999,4,2,2,6,6,11,11,12,12,13,11,0,11,16,12,11,11,8,6,7,4
PM10,40203,Saint John,NB,45.308762,-66.008384,19970109,7,5,4,5,5,4,5,8,8,7,8,5,5,14,10,13,9,10,14,8,8,9,8,12
PM10,40203,Saint John,NB,45.308762,-66.008384,19970110,12,14,12,11,15,12,7,8,6,9,6,10,5,4,4,3,8,9,27,33,20,13,7,6
PM10,40203,Saint John,NB,45.308762,-66.008384,19970111,6,5,9,13,11,9,9,16,15,11,10,7,10,12,18,13,13,17,15,13,15,15,11,9
PM10,40203,Saint John,NB,45.308762,-66.008384,19970112,4,5,2,7,9,6,9,9,9,9,13,14,13,13,16,14,11,12,18,19,25,15,15,12
PM10,40203,Saint John,NB,45.308762,-66.008384,19970113,11,10,9,7,8,6,6,8,11,10,9,13,8,6,7,9,12,10,11,9,9,8,7,9
PM10,40203,Saint John,NB,45.308762,-66.008384,19970114,3,5,5,6,5,3,7,3,6,13,8,7,5,21,18,17,23,23,20,23,21,12,16,19
PM10,40203,Saint John,NB,45.308762,-66.008384,19970115,8,6,9,6,4,5,7,8,8,14,17,20,19,22,24,15,17,17,26,18,13,13,11,14
PM10,40203,Saint John,NB,45.308762,-66.008384,19970116,20,21,19,21,21,29,29,27,26,27,25,24,22,16,16,17,15,21,20,23,22,36,19,19
PM10,40203,Saint John,NB,45.308762,-66.008384,19970117,12,20,6,-999,-999,-999,2,7,13,16,23,39,28,31,22,28,27,39,31,19,21,8,11,9
PM10,40203,Saint John,NB,45.308762,-66.008384,19970118,7,5,7,6,6,17,20,18,11,9,10,12,10,9,11,13,13,12,14,16,14,14,9,8
PM10,40203,Saint John,NB,45.308762,-66.008384,19970119,6,9,8,10,4,6,6,5,9,11,8,11,9,12,9,12,8,11,14,16,17,13,14,10
PM10,40203,Saint John,NB,45.308762,-66.008384,19970120,11,9,11,9,8,12,17,11,14,13,12,15,22,26,33,26,30,28,29,23,22,23,16,20
PM10,40203,Saint John,NB,45.308762,-66.008384,19970121,19,16,9,11,10,11,10,8,14,13,11,12,8,-999,1,8,10,14,14,16,17,13,13,7
PM10,40203,Saint John,NB,45.308762,-66.008384,19970122,10,10,23,10,10,29,45,47,54,17,23,31,24,30,32,33,35,32,42,41,39,46,47,40
PM10,40203,Saint John,NB,45.308762,-66.008384,19970123,35,37,36,38,36,26,26,25,25,23,24,24,25,-999,-999,-999,-999,-999,-999,4,8,5,5,6
PM10,40203,Saint John,NB,45.308762,-66.008384,19970124,8,4,4,6,3,3,8,6,9,7,8,9,7,8,6,10,17,19,12,13,9,17,5,10
PM10,40203,Saint John,NB,45.308762,-66.008384,19970125,17,12,9,11,10,12,15,12,15,16,13,10,7,9,10,19,26,20,15,11,17,7,10,5
PM10,40203,Saint John,NB,45.308762,-66.008384,19970126,5,7,5,11,5,-999,-999,2,0,-999,-999,6,10,13,9,11,12,8,12,12,9,10,12,6
PM10,40203,Saint John,NB,45.308762,-66.008384,19970127,8,6,5,8,3,5,5,4,9,11,8,7,9,9,11,10,12,12,19,29,49,51,65,72
PM10,40203,Saint John,NB,45.308762,-66.008384,19970128,11,24,24,13,10,13,25,9,8,7,7,5,7,2,6,31,35,9,2,9,-999,-999,1,8
PM10,40203,Saint John,NB,45.308762,-66.008384,19970129,6,7,6,5,6,4,5,8,12,9,8,6,4,8,5,6,7,9,11,15,9,5,7,6
PM10,40203,Saint John,NB,45.308762,-66.008384,19970130,6,5,7,5,3,3,0,4,6,5,5,8,3,8,5,6,7,11,10,15,48,43,12,8
PM10,40203,Saint John,NB,45.308762,-66.008384,19970131,10,10,9,13,12,15,12,14,21,28,30,12,6,4,10,12,12,9,10,8,9,9,9,10
PM10,40203,Saint John,NB,45.308762,-66.008384,19970201,8,9,10,10,8,9,8,11,13,10,8,10,9,7,8,5,7,7,10,12,10,7,10,7
PM10,40203,Saint John,NB,45.308762,-66.008384,19970202,9,16,14,12,7,8,8,6,4,7,7,6,5,10,12,9,10,14,12,15,14,12,15,14
PM10,40203,Saint John,NB,45.308762,-66.008384,19970203,18,26,26,22,23,24,24,29,28,35,50,35,35,35,36,28,24,17,19,17,17,15,15,13
PM10,40203,Saint John,NB,45.308762,-66.008384,19970204,15,12,11,7,6,4,1,3,5,13,8,6,4,5,9,8,10,7,13,14,13,13,8,29
PM10,40203,Saint John,NB,45.308762,-66.008384,19970205,9,14,10,6,5,7,8,7,8,8,8,9,5,4,1,2,5,7,13,12,8,7,4,0
PM10,40203,Saint John,NB,45.308762,-66.008384,19970206,4,2,3,3,2,-999,4,5,7,7,8,7,9,8,-999,-999,3,3,5,7,10,13,9,9
PM10,40203,Saint John,NB,45.308762,-66.008384,19970207,9,6,7,7,9,10,15,10,13,11,8,10,12,8,8,13,9,9,11,17,18,20,12,9
PM10,40203,Saint John,NB,45.308762,-66.008384,19970208,5,7,3,1,2,3,4,7,11,11,11,10,10,12,12,8,10,11,18,21,25,15,14,11
PM10,40203,Saint John,NB,45.308762,-66.008384,19970209,8,9,6,7,9,8,8,10,12,11,21,27,30,22,8,9,10,17,28,34,13,11,11,14
PM10,40203,Saint John,NB,45.308762,-66.008384,19970210,19,10,9,8,7,8,10,16,22,22,22,23,25,19,15,17,20,18,22,27,19,23,21,16
PM10,40203,Saint John,NB,45.308762,-66.008384,19970211,10,11,8,8,6,7,8,11,14,16,15,11,12,9,8,9,11,9,11,19,17,15,16,19
PM10,40203,Saint John,NB,45.308762,-66.008384,19970212,13,10,7,7,7,8,8,11,35,43,39,43,25,9,12,14,10,12,13,14,20,18,20,26
PM10,40203,Saint John,NB,45.308762,-66.008384,19970213,23,22,24,24,23,24,25,19,15,13,9,5,6,3,3,4,5,8,10,14,12,6,11,10
PM10,40203,Saint John,NB,45.308762,-66.008384,19970214,10,24,17,7,31,22,22,39,58,103,122,116,38,9,14,12,7,6,8,2,1,-999,-999,2
PM10,40203,Saint John,NB,45.308762,-66.008384,19970215,2,14,16,16,8,7,8,4,6,8,9,6,6,8,15,12,12,15,14,15,18,16,20,14
PM10,40203,Saint John,NB,45.308762,-66.008384,19970216,14,12,15,13,15,16,12,7,0,2,-999,-999,5,11,9,8,7,9,13,13,11,13,13,10
PM10,40203,Saint John,NB,45.308762,-66.008384,19970217,9,7,5,6,4,7,6,7,14,20,16,15,13,11,7,10,7,11,17,23,20,19,39,32
PM10,40203,Saint John,NB,45.308762,-66.008384,19970218,18,18,13,12,24,24,20,22,25,27,24,24,25,24,28,35,36,37,43,43,45,46,50,49
PM10,40203,Saint John,NB,45.308762,-66.008384,19970219,54,54,53,42,42,30,31,41,59,58,63,52,49,48,48,41,48,48,45,38,41,35,23,12
PM10,40203,Saint John,NB,45.308762,-66.008384,19970220,8,8,6,3,6,4,1,9,11,11,5,2,5,3,7,5,6,4,6,11,9,8,5,14
PM10,40203,Saint John,NB,45.308762,-66.008384,19970221,12,10,13,11,17,14,19,22,27,28,31,29,28,30,31,33,30,31,29,35,29,12,10,9
PM10,40203,Saint John,NB,45.308762,-66.008384,19970222,9,9,9,7,9,4,4,3,-999,-999,-999,-999,3,3,3,2,3,0,0,7,1,-999,2,1
PM10,40203,Saint John,NB,45.308762,-66.008384,19970223,3,8,7,9,9,10,1,4,4,8,5,4,6,9,9,14,12,13,16,20,17,16,24,26
PM10,40203,Saint John,NB,45.308762,-66.008384,19970224,12,14,7,4,14,17,21,16,48,64,29,10,6,5,5,4,9,8,12,28,17,8,18,21
PM10,40203,Saint John,NB,45.308762,-66.008384,19970225,8,5,6,5,1,4,5,8,16,14,11,10,16,13,10,9,14,17,19,25,52,50,43,24
PM10,40203,Saint John,NB,45.308762,-66.008384,19970226,14,17,11,4,8,9,40,26,32,31,39,36,31,42,36,33,32,38,39,33,31,21,24,36
PM10,40203,Saint John,NB,45.308762,-66.008384,19970227,29,43,52,49,43,33,33,41,37,33,26,34,43,29,16,15,12,14,18,21,17,11,14,15
PM10,40203,Saint John,NB,45.308762,-66.008384,19970228,8,8,11,3,7,8,3,8,10,8,7,11,9,7,3,9,9,10,9,16,16,14,12,15
PM10,40203,Saint John,NB,45.308762,-66.008384,19970301,6,8,8,11,14,13,9,16,19,28,31,13,11,13,13,13,14,8,11,12,14,16,13,20
PM10,40203,Saint John,NB,45.308762,-66.008384,19970302,13,17,15,15,12,9,9,4,4,12,9,11,9,9,6,8,13,17,18,14,10,12,9,4
PM10,40203,Saint John,NB,45.308762,-66.008384,19970303,2,-999,-999,3,-999,3,6,4,10,10,9,6,8,7,6,10,8,12,10,11,17,16,20,12
PM10,40203,Saint John,NB,45.308762,-66.008384,19970304,8,9,8,6,7,10,8,9,12,21,19,16,17,7,7,5,5,4,17,11,13,12,12,11
PM10,40203,Saint John,NB,45.308762,-66.008384,19970305,8,9,11,9,8,11,10,10,9,12,11,8,13,11,12,13,13,16,18,17,17,16,11,20
PM10,40203,Saint John,NB,45.308762,-66.008384,19970306,14,20,8,6,6,4,2,2,2,1,-999,-999,-999,-999,-999,-999,-999,-999,1,10,17,15,12,8
