Pollutant:, SO2
Units:, ppb
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
SO2,010102,St Johns,NL,47.56038,-52.7115,19990101,5.0,5.0,5.0,6.0,7.0,10.0,9.0,8.0,10.0,14.0,15.0,15.0,11.0,13.0,9.0,9.0,13.0,13.0,16.0,11.0,11.0,15.0,15.0,26.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990102,28.0,20.0,23.0,27.0,39.0,42.0,50.0,55.0,42.0,23.0,9.0,5.0,7.0,8.0,5.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990103,4.0,5.0,4.0,4.0,5.0,6.0,7.0,5.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,12.0,12.0,7.0,6.0,12.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990104,8.0,7.0,6.0,11.0,10.0,23.0,9.0,6.0,6.0,8.0,5.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SO2,010102,St Johns,NL,47.56038,-52.7115,19990105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.0,-999,6.0,9.0,10.0,7.0,9.0,6.0,6.0,6.0,12.0,17.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990106,15.0,10.0,8.0,7.0,8.0,7.0,7.0,13.0,11.0,12.0,15.0,10.0,8.0,13.0,18.0,29.0,21.0,29.0,35.0,35.0,34.0,31.0,32.0,29.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990107,26.0,34.0,27.0,36.0,39.0,32.0,33.0,44.0,47.0,18.0,14.0,10.0,7.0,8.0,8.0,8.0,7.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990108,1.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990109,0.0,4.0,6.0,6.0,27.0,15.0,13.0,12.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,4.0,6.0,9.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990111,11.0,11.0,12.0,13.0,12.0,14.0,11.0,10.0,12.0,14.0,11.0,9.0,10.0,10.0,9.0,10.0,18.0,14.0,14.0,19.0,18.0,10.0,11.0,9.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990112,14.0,36.0,24.0,34.0,7.0,21.0,20.0,15.0,15.0,6.0,3.0,6.0,4.0,6.0,12.0,13.0,16.0,9.0,8.0,6.0,1.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990113,0.0,0.0,0.0,2.0,5.0,8.0,12.0,12.0,16.0,17.0,18.0,23.0,31.0,15.0,10.0,11.0,5.0,5.0,14.0,12.0,7.0,2.0,3.0,2.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990114,2.0,0.0,2.0,4.0,6.0,4.0,5.0,7.0,10.0,5.0,7.0,7.0,6.0,9.0,5.0,5.0,5.0,1.0,1.0,0.0,1.0,4.0,9.0,6.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990115,5.0,2.0,6.0,12.0,12.0,19.0,14.0,11.0,6.0,7.0,5.0,6.0,4.0,6.0,2.0,2.0,9.0,12.0,11.0,9.0,10.0,12.0,7.0,3.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999,-999,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990117,4.0,8.0,9.0,1.0,1.0,3.0,10.0,9.0,5.0,3.0,6.0,5.0,7.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,5.0,5.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990118,6.0,6.0,4.0,3.0,3.0,4.0,3.0,5.0,7.0,7.0,5.0,4.0,4.0,6.0,5.0,7.0,12.0,12.0,13.0,11.0,8.0,7.0,8.0,7.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990119,6.0,7.0,9.0,15.0,36.0,33.0,22.0,27.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990120,0.0,1.0,2.0,3.0,7.0,9.0,10.0,10.0,10.0,7.0,5.0,5.0,3.0,3.0,4.0,4.0,7.0,9.0,11.0,8.0,13.0,21.0,18.0,11.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990121,6.0,5.0,4.0,3.0,14.0,12.0,21.0,17.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990122,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,3.0,8.0,9.0,5.0,3.0,5.0,15.0,26.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990124,17.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990126,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990127,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990128,6.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,3.0,1.0,1.0,3.0,-999,-999,1.0,1.0,3.0,8.0,2.0,0.0,3.0,12.0,11.0,9.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990129,9.0,16.0,11.0,15.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,12.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990201,13.0,10.0,7.0,4.0,10.0,7.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,-999,-999,1.0,1.0,3.0,8.0,7.0,14.0,17.0,4.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990203,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,8.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990208,5.0,7.0,10.0,6.0,6.0,12.0,7.0,7.0,11.0,6.0,4.0,3.0,2.0,-999,-999,5.0,3.0,3.0,5.0,6.0,3.0,6.0,6.0,5.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990209,5.0,0.0,8.0,16.0,1.0,9.0,5.0,10.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990210,0.0,0.0,0.0,4.0,15.0,17.0,13.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990211,0.0,2.0,2.0,1.0,0.0,1.0,7.0,6.0,8.0,14.0,11.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990212,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,8.0,9.0,8.0,4.0,6.0,12.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990213,8.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990215,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990216,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,1.0,7.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990218,3.0,5.0,3.0,4.0,4.0,6.0,7.0,9.0,9.0,6.0,6.0,6.0,7.0,6.0,9.0,8.0,7.0,9.0,7.0,10.0,11.0,10.0,7.0,5.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990219,5.0,6.0,5.0,6.0,6.0,6.0,8.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990220,5.0,5.0,5.0,8.0,9.0,9.0,7.0,8.0,7.0,6.0,6.0,7.0,5.0,4.0,4.0,9.0,11.0,5.0,7.0,17.0,11.0,5.0,4.0,5.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990221,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,4.0,7.0,3.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990222,3.0,3.0,7.0,4.0,4.0,5.0,12.0,9.0,6.0,8.0,7.0,5.0,6.0,5.0,8.0,6.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,4.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990223,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,7.0,6.0,-999,9.0,8.0,6.0,6.0,5.0,5.0,3.0,12.0,11.0,13.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990224,15.0,8.0,12.0,5.0,15.0,6.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,8.0,11.0,13.0,12.0,16.0,14.0,4.0,3.0,4.0
SO2,010102,St Johns,NL,47.56038,-52.7115,19990225,4.0,4.0,5.0,10.0,11.0,8.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,6.0,4.0,3.0,2.0,4.0,6.0,7.0,5.0,2.0,2.0
