Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010101,St Johns,NL,47.56806,-52.70222,19820101,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010101,St Johns,NL,47.56806,-52.70222,19820102,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010101,St Johns,NL,47.56806,-52.70222,19820103,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010101,St Johns,NL,47.56806,-52.70222,19820104,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010101,St Johns,NL,47.56806,-52.70222,19820105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.60,0.90,0.80,1.10,0.80,1.10,0.50,0.30,0.40,0.50,0.40,0.60,0.30,0.40
CO,010101,St Johns,NL,47.56806,-52.70222,19820106,0.10,0.10,0.10,0.20,0.30,0.80,1.60,2.30,1.10,0.90,0.60,0.50,0.60,0.50,0.80,0.70,0.50,0.70,0.80,0.70,0.60,0.30,0.10,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19820107,0.20,0.00,0.00,0.10,0.20,0.70,0.90,0.40,0.30,0.40,0.60,-999,0.50,0.60,1.60,0.90,0.90,1.60,2.00,1.00,0.60,0.50,0.60,0.50
CO,010101,St Johns,NL,47.56806,-52.70222,19820108,0.30,0.30,0.30,0.10,0.30,0.70,0.80,0.50,0.30,0.40,0.20,0.10,0.20,0.60,0.30,0.10,0.20,0.60,0.50,0.60,0.10,0.20,0.20,0.20
CO,010101,St Johns,NL,47.56806,-52.70222,19820109,0.10,0.00,0.00,0.00,0.10,0.20,0.30,0.40,0.30,0.30,0.20,0.50,0.30,0.50,0.40,0.30,0.30,0.40,0.40,0.50,0.70,0.80,1.00,1.10
CO,010101,St Johns,NL,47.56806,-52.70222,19820110,0.50,0.30,0.20,0.10,0.20,0.30,0.20,0.10,0.20,0.20,0.20,0.30,0.40,0.50,0.50,0.40,0.50,0.40,0.40,0.50,0.30,0.30,0.10,0.00
CO,010101,St Johns,NL,47.56806,-52.70222,19820111,0.00,0.00,0.00,0.20,0.70,0.80,0.40,0.50,0.60,0.70,0.60,0.60,0.60,0.70,1.10,0.90,0.80,0.90,0.80,0.80,1.20,0.80,0.40,0.60
CO,010101,St Johns,NL,47.56806,-52.70222,19820112,0.30,0.20,0.30,0.40,0.80,3.50,2.50,1.10,0.80,0.50,0.50,0.80,0.70,1.60,4.10,-999,-999,-999,-999,-999,-999,-999,-999,-999
CO,010101,St Johns,NL,47.56806,-52.70222,19820113,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
