Pollutant:, NO2
Units:, ppb
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
NO2,030115,Halifax,NS,44.62611,-63.51944,19820101,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19820102,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NO2,030115,Halifax,NS,44.62611,-63.51944,19820103,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820105,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,8.0,9.0,4.0,4.0,3.0,7.0,7.0,1.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820107,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,12.0,20.0,10.0,7.0,10.0,18.0,21.0,15.0,18.0,20.0,16.0,20.0,15.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820108,7.0,8.0,14.0,13.0,7.0,6.0,8.0,9.0,8.0,7.0,6.0,5.0,4.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820109,3.0,2.0,3.0,2.0,1.0,1.0,3.0,5.0,7.0,7.0,2.0,1.0,1.0,12.0,19.0,29.0,37.0,22.0,21.0,23.0,15.0,10.0,7.0,6.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820110,5.0,6.0,4.0,8.0,5.0,3.0,3.0,4.0,5.0,8.0,10.0,7.0,5.0,5.0,9.0,7.0,6.0,11.0,16.0,10.0,12.0,7.0,4.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820111,4.0,5.0,11.0,9.0,8.0,11.0,24.0,33.0,18.0,16.0,28.0,31.0,17.0,12.0,9.0,8.0,13.0,8.0,3.0,2.0,2.0,5.0,6.0,8.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820112,5.0,2.0,2.0,8.0,16.0,21.0,17.0,9.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,9.0,16.0,14.0,12.0,12.0,12.0,12.0,14.0,16.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820113,16.0,14.0,10.0,13.0,17.0,10.0,2.0,2.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,6.0,4.0,3.0,18.0,33.0,31.0,34.0,32.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820114,16.0,10.0,8.0,10.0,10.0,12.0,10.0,13.0,10.0,11.0,12.0,7.0,4.0,4.0,3.0,3.0,4.0,3.0,14.0,16.0,12.0,27.0,14.0,18.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820115,7.0,9.0,7.0,12.0,6.0,12.0,13.0,9.0,7.0,10.0,25.0,23.0,14.0,21.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,6.0,4.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820116,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820117,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0,7.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820118,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,7.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820119,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,5.0,7.0,8.0,8.0,7.0,6.0,6.0,8.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820120,8.0,7.0,8.0,9.0,8.0,10.0,10.0,18.0,27.0,24.0,8.0,3.0,5.0,1.0,0.0,0.0,10.0,6.0,5.0,7.0,10.0,10.0,8.0,9.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820121,10.0,7.0,5.0,3.0,9.0,11.0,11.0,15.0,9.0,11.0,8.0,6.0,6.0,5.0,8.0,10.0,15.0,21.0,24.0,17.0,23.0,21.0,14.0,12.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820122,8.0,5.0,7.0,5.0,4.0,7.0,13.0,12.0,13.0,8.0,7.0,4.0,7.0,9.0,11.0,10.0,9.0,10.0,12.0,18.0,18.0,17.0,12.0,8.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820123,6.0,7.0,8.0,8.0,9.0,12.0,11.0,14.0,11.0,13.0,12.0,15.0,12.0,19.0,22.0,8.0,4.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820124,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820125,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,14.0,7.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820126,3.0,4.0,4.0,6.0,4.0,5.0,6.0,9.0,13.0,12.0,11.0,13.0,7.0,3.0,2.0,3.0,2.0,1.0,4.0,14.0,19.0,24.0,20.0,13.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820127,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,9.0,11.0,12.0,10.0,8.0,7.0,9.0,8.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820128,5.0,7.0,13.0,11.0,9.0,11.0,16.0,29.0,32.0,33.0,27.0,28.0,13.0,10.0,7.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820129,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,6.0,8.0,9.0,11.0,7.0,6.0,6.0,9.0,7.0,7.0,8.0,9.0,8.0,8.0,6.0,6.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820130,7.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,10.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820131,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,7.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820202,3.0,4.0,5.0,6.0,4.0,4.0,4.0,7.0,11.0,9.0,4.0,7.0,3.0,5.0,6.0,9.0,11.0,6.0,12.0,17.0,8.0,2.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,9.0,5.0,6.0,6.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,11.0,15.0,16.0,17.0,15.0,12.0,9.0,5.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820205,4.0,10.0,3.0,2.0,4.0,5.0,6.0,13.0,15.0,7.0,7.0,6.0,7.0,12.0,10.0,5.0,5.0,4.0,7.0,14.0,3.0,2.0,6.0,8.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820206,5.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,5.0,8.0,4.0,1.0,1.0,2.0,5.0,10.0,8.0,6.0,3.0,2.0,2.0,1.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820207,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820208,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,6.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820209,5.0,5.0,5.0,6.0,5.0,7.0,12.0,14.0,19.0,10.0,6.0,5.0,3.0,4.0,5.0,4.0,6.0,5.0,4.0,3.0,4.0,4.0,2.0,1.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820210,1.0,1.0,1.0,2.0,11.0,5.0,4.0,7.0,8.0,4.0,5.0,10.0,18.0,19.0,8.0,5.0,7.0,5.0,3.0,3.0,10.0,11.0,5.0,7.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820211,5.0,2.0,2.0,4.0,7.0,6.0,5.0,6.0,5.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,8.0,11.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820212,3.0,1.0,1.0,1.0,2.0,4.0,8.0,13.0,16.0,10.0,5.0,5.0,6.0,8.0,9.0,10.0,10.0,13.0,15.0,18.0,23.0,34.0,37.0,36.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820213,34.0,33.0,37.0,40.0,32.0,14.0,13.0,9.0,6.0,5.0,4.0,6.0,6.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,7.0,5.0,2.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820214,1.0,2.0,2.0,2.0,3.0,8.0,13.0,12.0,14.0,9.0,6.0,5.0,2.0,2.0,3.0,3.0,4.0,5.0,7.0,8.0,6.0,6.0,3.0,7.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820215,10.0,8.0,10.0,7.0,5.0,11.0,12.0,21.0,23.0,17.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820216,2.0,0.0,2.0,2.0,2.0,5.0,7.0,10.0,16.0,17.0,14.0,9.0,7.0,8.0,7.0,9.0,12.0,12.0,7.0,8.0,11.0,18.0,10.0,10.0
NO2,030115,Halifax,NS,44.62611,-63.51944,19820217,7.0,9.0,10.0,10.0,12.0,13.0,10.0,13.0,10.0,6.0,5.0,6.0,5.0,6.0,4.0,3.0,4.0,6.0,12.0,23.0,16.0,17.0,17.0,13.0
