File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, PM10 // PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités,µg/m3 // µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160202,5,5,7,7,4,10,26,38,24,14,18,20,25,18,13,14,12,13,7,5,5,5,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160203,7,7,8,11,11,18,21,30,25,22,22,37,85,61,51,14,13,11,10,8,6,4,5,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160204,4,4,2,6,3,0,0,3,10,15,14,10,6,6,4,5,5,5,6,6,4,6,6,6
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160205,4,4,4,4,5,4,5,9,17,16,6,8,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160206,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160207,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160208,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160209,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160210,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160211,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
