File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, PM10 // PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités,µg/m3 // µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
PM10,70203,Brandon,MB,49.83918,-99.9206,20160611,9,12,11,0,-999,-999,2,1,3,4,3,8,5,8,8,7,9,7,0,0,14,14,17,12
PM10,70203,Brandon,MB,49.83918,-99.9206,20160612,9,28,9,9,2,9,5,7,1,3,0,9,13,15,18,14,9,13,12,11,20,11,8,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160613,5,0,-999,0,2,32,10,31,21,9,23,15,14,19,10,17,12,18,12,58,27,42,22,14
PM10,70203,Brandon,MB,49.83918,-99.9206,20160614,17,21,5,13,12,17,10,15,16,11,0,14,7,12,31,33,25,10,11,18,8,17,9,8
PM10,70203,Brandon,MB,49.83918,-99.9206,20160615,8,5,5,8,4,9,19,21,23,19,17,29,23,16,23,17,16,14,18,34,35,37,21,31
PM10,70203,Brandon,MB,49.83918,-99.9206,20160616,19,8,7,18,6,8,16,21,14,29,16,8,25,38,11,16,19,35,27,12,25,13,13,22
PM10,70203,Brandon,MB,49.83918,-99.9206,20160617,2,1,-999,-999,8,13,3,25,33,7,-999,33,1,25,14,15,28,23,17,15,16,15,17,21
PM10,70203,Brandon,MB,49.83918,-99.9206,20160618,18,18,11,13,9,10,15,9,19,-999,23,18,0,8,0,20,15,19,17,31,13,30,17,13
PM10,70203,Brandon,MB,49.83918,-99.9206,20160619,28,21,0,-999,3,6,10,18,1,3,12,15,3,-999,-999,-999,20,36,38,13,11,12,5,9
PM10,70203,Brandon,MB,49.83918,-99.9206,20160620,2,-999,-999,11,13,6,9,15,15,10,27,21,39,40,39,40,26,20,10,18,25,24,22,22
PM10,70203,Brandon,MB,49.83918,-99.9206,20160621,15,15,10,11,9,16,22,41,16,25,23,7,15,13,25,14,37,19,19,15,27,24,16,11
PM10,70203,Brandon,MB,49.83918,-99.9206,20160622,12,3,10,10,2,17,0,14,14,9,4,3,0,0,5,14,12,10,16,21,32,20,18,16
PM10,70203,Brandon,MB,49.83918,-99.9206,20160623,17,10,3,2,6,14,16,35,32,18,18,18,20,14,20,9,17,24,4,14,17,32,19,12
PM10,70203,Brandon,MB,49.83918,-99.9206,20160624,7,8,13,4,2,12,24,48,33,34,29,13,25,40,56,39,37,36,25,16,13,11,10,13
PM10,70203,Brandon,MB,49.83918,-99.9206,20160625,-999,-999,-999,-999,-999,14,13,9,2,12,26,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160626,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160627,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,18,38,25,16
PM10,70203,Brandon,MB,49.83918,-99.9206,20160628,17,10,7,9,7,30,22,38,35,30,28,28,37,36,22,35,19,16,19,26,28,28,19,14
PM10,70203,Brandon,MB,49.83918,-99.9206,20160629,14,17,12,12,15,21,36,41,39,52,43,42,12,26,70,-999,2,25,15,-999,3,0,0,0
PM10,70203,Brandon,MB,49.83918,-99.9206,20160630,-999,-999,-999,-999,4,12,13,8,5,1,5,11,11,12,3,7,0,7,6,10,8,16,16,24
PM10,70203,Brandon,MB,49.83918,-99.9206,20160701,14,9,12,1,5,13,12,19,11,-999,15,7,-999,10,-999,13,8,18,12,7,20,11,14,18
PM10,70203,Brandon,MB,49.83918,-99.9206,20160702,27,19,8,3,2,10,12,12,22,20,17,22,21,17,19,15,16,18,12,23,8,6,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160703,-999,7,3,1,17,10,17,20,14,16,4,-999,-999,20,15,12,3,-999,1,10,2,1,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160704,-999,-999,-999,2,0,19,16,16,8,26,31,38,27,22,8,-999,13,3,7,2,7,7,4,0
PM10,70203,Brandon,MB,49.83918,-99.9206,20160705,1,2,2,7,5,10,21,28,21,18,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160706,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160707,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160708,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160709,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160710,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160711,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160712,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160713,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160714,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160715,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160716,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160717,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160718,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160719,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160720,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160721,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160722,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160723,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160724,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160725,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160726,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160727,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160728,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160729,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160730,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160731,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160801,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160802,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160804,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160805,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160806,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160807,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160808,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160809,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160810,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160811,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160812,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160813,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160814,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160815,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160816,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160817,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160818,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160819,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160820,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160821,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160822,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160823,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160824,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,9,8,6,2,2,2,2,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20160825,2,3,2,3,5,6,12,15,12,13,18,8,5,8,5,7,5,6,5,4,53,29,21,19
PM10,70203,Brandon,MB,49.83918,-99.9206,20160826,26,18,16,7,9,37,16,50,25,26,30,21,19,22,23,18,15,13,17,24,16,13,10,8
PM10,70203,Brandon,MB,49.83918,-99.9206,20160827,8,7,5,7,5,6,8,9,9,12,12,9,7,6,14,9,7,8,9,9,16,25,38,28
PM10,70203,Brandon,MB,49.83918,-99.9206,20160828,24,36,-999,12,11,12,11,12,17,14,14,26,20,24,20,19,27,18,31,25,13,15,19,17
PM10,70203,Brandon,MB,49.83918,-99.9206,20160829,14,8,6,6,5,6,12,11,9,8,15,22,16,19,15,19,28,24,27,45,31,28,25,26
PM10,70203,Brandon,MB,49.83918,-99.9206,20160830,25,18,16,17,14,22,25,33,20,26,31,25,17,18,22,25,20,17,32,30,35,44,23,15
PM10,70203,Brandon,MB,49.83918,-99.9206,20160831,10,12,10,7,3,4,7,15,25,28,20,20,29,26,23,33,32,35,24,17,18,13,13,17
PM10,70203,Brandon,MB,49.83918,-99.9206,20160901,17,15,12,10,10,11,13,31,31,23,28,41,39,41,49,47,37,33,28,31,32,21,17,16
PM10,70203,Brandon,MB,49.83918,-99.9206,20160902,19,11,8,8,8,8,10,13,15,33,77,74,73,50,84,37,35,24,24,21,22,20,17,17
PM10,70203,Brandon,MB,49.83918,-99.9206,20160903,15,20,15,12,11,12,10,12,14,13,13,15,8,26,21,5,9,8,5,11,10,13,16,12
PM10,70203,Brandon,MB,49.83918,-99.9206,20160904,2,8,8,9,7,7,5,5,15,8,8,7,5,8,9,4,2,11,12,3,5,2,2,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160905,-999,1,-999,-999,0,-999,1,2,1,1,-999,1,-999,1,5,10,4,3,2,3,2,2,-999,2
PM10,70203,Brandon,MB,49.83918,-99.9206,20160906,2,5,4,1,2,3,7,12,7,8,10,10,32,21,13,15,7,7,4,5,5,6,9,7
PM10,70203,Brandon,MB,49.83918,-99.9206,20160907,5,4,3,3,2,3,10,18,23,20,15,13,12,13,19,7,4,5,0,4,-999,1,3,1
PM10,70203,Brandon,MB,49.83918,-99.9206,20160908,-999,2,2,5,6,7,10,18,16,13,18,15,22,28,24,24,7,6,5,4,8,3,3,8
PM10,70203,Brandon,MB,49.83918,-99.9206,20160909,3,8,5,3,2,1,-999,5,2,3,1,3,10,6,12,17,11,2,10,7,6,4,5,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20160910,3,3,2,2,3,12,9,11,12,9,5,5,7,4,4,9,6,8,6,6,6,3,4,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20160911,4,3,3,3,2,3,5,4,7,10,8,10,12,10,9,16,18,17,13,6,6,2,2,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160912,-999,2,3,1,3,3,7,8,6,3,7,7,6,5,10,10,8,6,4,4,4,4,2,0
PM10,70203,Brandon,MB,49.83918,-99.9206,20160913,-999,0,1,-999,-999,4,6,14,12,2,6,23,16,16,22,40,25,12,18,18,30,33,30,20
PM10,70203,Brandon,MB,49.83918,-99.9206,20160914,10,6,4,3,3,11,16,28,26,20,22,27,21,28,25,27,23,20,27,32,36,29,28,24
PM10,70203,Brandon,MB,49.83918,-99.9206,20160915,13,10,8,7,6,7,15,35,29,32,30,38,33,43,47,38,36,26,23,23,21,23,19,22
PM10,70203,Brandon,MB,49.83918,-99.9206,20160916,20,6,-999,-999,-999,-999,4,6,7,5,1,4,3,8,10,7,10,18,19,28,29,38,25,16
PM10,70203,Brandon,MB,49.83918,-99.9206,20160917,16,12,9,9,6,7,15,18,19,11,6,3,2,11,15,18,17,21,28,24,13,6,3,6
PM10,70203,Brandon,MB,49.83918,-99.9206,20160918,7,4,-999,3,6,4,6,8,6,7,5,7,10,14,18,18,16,23,198,7,6,3,3,6
PM10,70203,Brandon,MB,49.83918,-99.9206,20160919,5,5,6,4,4,6,7,14,16,16,32,42,64,68,42,50,30,14,19,33,44,46,34,23
PM10,70203,Brandon,MB,49.83918,-99.9206,20160920,18,20,14,12,12,13,21,24,30,21,19,18,19,16,22,21,27,19,22,25,26,23,24,37
PM10,70203,Brandon,MB,49.83918,-99.9206,20160921,31,21,11,4,6,9,7,26,20,10,35,41,34,17,21,11,14,18,21,16,45,96,23,27
PM10,70203,Brandon,MB,49.83918,-99.9206,20160922,38,34,29,16,17,10,14,19,27,37,24,23,21,13,10,18,15,14,12,12,30,25,18,13
PM10,70203,Brandon,MB,49.83918,-99.9206,20160923,10,6,3,2,1,4,3,10,24,22,50,44,36,38,29,19,19,12,8,7,5,3,5,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20160924,4,4,4,3,3,1,2,3,6,7,6,5,4,2,22,22,2,19,16,17,15,13,-999,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20160925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,4,3,5,2,2,5,5,4,2,3,3
PM10,70203,Brandon,MB,49.83918,-99.9206,20160926,3,3,3,3,1,3,7,11,9,5,5,6,2,4,5,7,8,5,7,8,7,7,6,7
PM10,70203,Brandon,MB,49.83918,-99.9206,20160927,8,8,7,5,3,13,35,38,29,19,16,5,12,3,6,10,19,8,11,20,17,9,6,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20160928,3,4,4,4,0,0,2,17,38,14,13,13,10,2,24,41,32,39,41,37,45,49,27,14
PM10,70203,Brandon,MB,49.83918,-99.9206,20160929,15,14,5,6,1,8,17,14,12,19,13,22,15,23,19,21,24,17,20,19,18,18,25,28
PM10,70203,Brandon,MB,49.83918,-99.9206,20160930,40,14,20,-999,80,9,0,5,19,27,15,18,25,27,25,26,24,20,14,16,14,14,17,10
PM10,70203,Brandon,MB,49.83918,-99.9206,20161001,18,14,19,14,15,15,13,14,17,16,20,14,20,20,20,30,21,26,35,31,41,29,29,20
PM10,70203,Brandon,MB,49.83918,-99.9206,20161002,17,13,12,14,21,18,20,25,26,10,14,14,20,21,22,25,26,26,16,14,9,9,10,10
PM10,70203,Brandon,MB,49.83918,-99.9206,20161003,15,7,8,11,14,11,7,9,11,13,4,4,7,7,8,5,1,3,11,5,-999,2,3,1
PM10,70203,Brandon,MB,49.83918,-99.9206,20161004,4,8,6,7,13,13,14,16,27,14,15,21,11,-999,0,11,19,-999,5,4,2,5,5,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20161005,8,6,4,1,6,3,6,10,12,6,2,3,5,6,5,7,7,0,-999,2,0,1,3,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20161006,2,4,2,2,3,7,7,12,11,17,18,16,13,13,14,13,15,6,4,6,6,5,5,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20161007,4,4,4,4,3,4,4,4,5,6,6,9,6,6,13,12,9,2,6,5,5,5,5,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20161008,5,5,5,5,6,6,6,7,9,8,8,7,5,6,3,3,7,4,6,10,8,8,6,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20161009,3,11,0,2,7,6,7,10,9,8,7,8,10,10,13,14,16,13,17,16,20,22,13,-999
PM10,70203,Brandon,MB,49.83918,-99.9206,20161010,3,4,2,3,1,4,3,4,6,4,5,7,3,4,6,8,10,5,4,6,6,5,4,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20161011,4,6,3,5,6,4,5,10,4,4,6,7,5,7,9,7,5,-999,5,5,4,4,4,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20161012,4,5,5,5,5,7,7,7,5,15,23,22,20,19,21,19,16,11,11,8,6,10,9,7
PM10,70203,Brandon,MB,49.83918,-99.9206,20161013,15,8,7,9,6,19,24,22,21,16,12,41,13,10,22,38,74,35,29,12,11,48,14,30
PM10,70203,Brandon,MB,49.83918,-99.9206,20161014,64,26,11,9,9,9,11,24,41,40,27,38,28,30,33,38,34,38,47,31,42,35,35,21
PM10,70203,Brandon,MB,49.83918,-99.9206,20161015,9,5,1,3,5,6,6,8,7,6,10,8,8,10,10,10,10,12,15,11,7,7,3,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20161016,4,5,5,5,5,4,6,5,6,7,7,10,13,9,11,8,10,11,9,8,6,1,6,14
PM10,70203,Brandon,MB,49.83918,-99.9206,20161017,9,3,1,1,2,3,3,6,12,12,8,17,19,18,17,20,9,6,3,4,4,4,6,8
PM10,70203,Brandon,MB,49.83918,-99.9206,20161018,6,5,6,4,5,6,10,10,11,10,8,13,10,12,13,15,11,9,9,9,7,9,11,9
PM10,70203,Brandon,MB,49.83918,-99.9206,20161019,6,1,4,3,5,7,11,13,13,10,11,13,11,15,12,12,14,11,9,10,11,8,7,13
PM10,70203,Brandon,MB,49.83918,-99.9206,20161020,11,7,10,12,8,12,19,33,21,36,23,11,16,26,9,13,18,11,15,15,41,24,9,8
PM10,70203,Brandon,MB,49.83918,-99.9206,20161021,32,22,14,12,22,17,14,7,9,8,27,16,22,19,24,20,10,11,14,10,13,16,19,17
PM10,70203,Brandon,MB,49.83918,-99.9206,20161022,12,8,13,9,8,5,15,21,23,16,19,14,9,13,14,20,16,12,6,6,5,4,4,2
PM10,70203,Brandon,MB,49.83918,-99.9206,20161023,4,6,3,5,6,6,6,8,8,7,6,8,3,7,9,8,9,9,9,9,7,9,8,9
PM10,70203,Brandon,MB,49.83918,-99.9206,20161024,9,2,4,4,5,8,6,13,15,29,24,20,7,9,9,15,14,12,5,5,5,6,6,6
PM10,70203,Brandon,MB,49.83918,-99.9206,20161025,5,7,5,9,7,10,6,9,11,12,15,28,30,29,36,33,28,26,19,18,14,15,20,25
PM10,70203,Brandon,MB,49.83918,-99.9206,20161026,23,27,19,14,17,1,1,3,6,12,55,30,5,29,14,15,15,16,6,5,5,7,5,7
PM10,70203,Brandon,MB,49.83918,-99.9206,20161027,11,7,5,5,11,12,12,14,26,24,43,25,22,17,24,19,17,10,6,8,6,8,11,18
PM10,70203,Brandon,MB,49.83918,-99.9206,20161028,18,14,9,4,12,12,10,8,14,7,7,9,4,6,6,7,6,4,4,2,4,-999,4,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20161029,3,3,5,4,4,4,4,5,9,11,7,10,10,7,11,10,10,9,9,10,7,6,5,4
PM10,70203,Brandon,MB,49.83918,-99.9206,20161030,2,3,4,7,5,8,8,17,11,7,9,11,8,9,12,14,8,7,4,6,6,7,5,10
PM10,70203,Brandon,MB,49.83918,-99.9206,20161031,8,9,9,8,9,10,11,12,6,3,4,4,5,4,4,2,4,5,5,3,3,3,4,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20161101,4,4,4,4,5,5,7,8,8,8,24,13,11,29,22,26,16,10,13,14,7,5,6,2
PM10,70203,Brandon,MB,49.83918,-99.9206,20161102,2,3,4,3,5,10,27,27,15,12,13,21,17,13,24,11,7,6,6,8,11,7,7,9
PM10,70203,Brandon,MB,49.83918,-99.9206,20161103,9,8,7,8,7,8,8,12,17,9,11,15,18,19,28,31,23,24,26,14,15,25,20,16
PM10,70203,Brandon,MB,49.83918,-99.9206,20161104,35,17,11,7,6,6,7,7,13,15,40,49,48,49,59,37,40,24,27,24,26,14,16,22
PM10,70203,Brandon,MB,49.83918,-99.9206,20161105,11,10,14,9,8,6,6,9,20,14,15,14,22,23,23,21,28,26,18,19,20,26,29,24
PM10,70203,Brandon,MB,49.83918,-99.9206,20161106,22,20,29,16,13,17,20,19,25,19,23,29,32,29,29,22,19,27,28,34,55,25,26,12
PM10,70203,Brandon,MB,49.83918,-99.9206,20161107,12,4,11,10,11,10,15,14,21,32,29,19,19,16,11,12,18,27,21,16,11,10,12,10
PM10,70203,Brandon,MB,49.83918,-99.9206,20161108,10,16,9,10,8,8,22,28,36,39,33,31,23,14,29,28,28,26,18,20,9,12,8,10
PM10,70203,Brandon,MB,49.83918,-99.9206,20161109,9,7,6,6,5,5,8,14,15,19,24,27,32,39,35,34,43,35,24,27,24,24,23,21
PM10,70203,Brandon,MB,49.83918,-99.9206,20161110,18,19,19,16,13,10,9,8,9,9,9,17,24,36,26,16,20,19,11,10,6,5,7,5
PM10,70203,Brandon,MB,49.83918,-99.9206,20161111,3,2,5,2,3,5,6,11,16,24,11,10,6,5,8,7,10,17,11,8,8,8,21,23
