Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20000101,1.10,1.20,1.20,1.10,0.80,0.90,0.90,0.80,0.70,0.60,0.50,0.50,0.50,0.50,0.60,0.80,0.70,0.50,0.70,0.70,0.90,0.80,0.60,0.60
CO,010102,St Johns,NL,47.56038,-52.7115,20000102,0.50,0.50,0.50,0.50,0.40,0.40,0.50,0.50,0.40,0.40,0.40,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
CO,010102,St Johns,NL,47.56038,-52.7115,20000103,0.50,0.60,0.60,0.50,0.40,0.50,0.40,0.40,0.50,0.50,0.40,0.50,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.40,0.40,0.40,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,20000104,0.40,0.40,0.40,0.40,0.40,0.40,0.50,0.50,0.50,0.60,0.80,0.60,0.60,0.60,0.80,1.00,1.00,0.70,0.60,0.50,0.50,0.50,0.50,0.50
CO,010102,St Johns,NL,47.56038,-52.7115,20000105,0.50,0.50,0.40,0.40,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.40,0.50,0.50,0.50,0.40,0.50,0.50,0.40,0.50,0.50,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,20000106,0.40,0.40,0.50,0.40,0.40,0.40,0.50,0.50,0.50,0.50,-999,0.30,0.40,0.30,0.30,0.40,0.40,0.30,0.40,0.30,0.30,0.40,0.30,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,20000107,0.40,0.30,0.30,0.30,0.30,0.30,0.50,0.80,0.70,0.40,0.30,0.40,0.40,0.40,0.40,0.40,0.50,0.40,0.30,0.40,0.40,0.30,0.30,0.30
CO,010102,St Johns,NL,47.56038,-52.7115,20000108,0.30,0.30,0.30,0.20,0.20,0.20,0.20,0.30,1.10,0.50,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,20000109,0.40,0.40,0.50,0.40,0.30,0.30,0.30,0.30,0.30,0.20,0.20,0.20,0.30,0.30,0.30,0.50,0.60,0.80,0.80,1.00,0.90,0.70,0.60,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,20000110,0.30,0.30,0.20,0.20,0.20,0.40,0.90,0.80,0.60,0.50,0.40,0.50,0.50,0.60,0.50,1.10,0.40,0.40,0.50,0.50,0.50,0.50,0.50,0.60
CO,010102,St Johns,NL,47.56038,-52.7115,20000111,0.40,0.50,0.30,0.20,0.20,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.40,0.30,0.30,0.30,0.40,0.30,0.30,0.30,0.30,0.30,0.30,0.30
CO,010102,St Johns,NL,47.56038,-52.7115,20000112,0.30,0.30,0.30,0.30,0.30,0.30,0.40,1.20,1.20,1.00,1.00,0.70,0.60,-999,0.40,0.50,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,20000113,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.50,0.40,0.40,0.40,0.50,0.50,0.50,0.50,0.60,0.50,0.40,0.40,0.40,0.40,0.40,0.40,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,20000114,0.40,0.40,0.40,0.30,0.30,0.40,0.40,1.10,0.60,0.40,0.40,0.40,0.40,0.40,0.50,0.50,0.50,0.40,0.40,0.50,0.50,0.60,0.50,0.50
CO,010102,St Johns,NL,47.56038,-52.7115,20000115,0.40,0.50,0.50,0.50,0.40,0.40,0.40,0.40,0.40,0.50,0.40,0.50,0.50,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.40,0.50,0.40
