Pollutant:, SO2
Units:, ppb
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
SO2,010101,St Johns,NL,47.56806,-52.70222,19870101,3.0,4.0,3.0,4.0,-999,5.0,4.0,5.0,4.0,3.0,3.0,2.0,6.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,7.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870102,6.0,8.0,12.0,-999,42.0,37.0,23.0,14.0,6.0,7.0,5.0,6.0,4.0,6.0,7.0,13.0,9.0,22.0,15.0,13.0,12.0,14.0,3.0,2.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870103,1.0,1.0,-999,2.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870104,3.0,2.0,3.0,-999,4.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,7.0,5.0,5.0,15.0,18.0,3.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870105,2.0,3.0,-999,4.0,7.0,22.0,22.0,27.0,13.0,3.0,2.0,3.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870106,0.0,-999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,8.0,5.0,5.0,7.0,10.0,8.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870107,-999,14.0,20.0,24.0,18.0,29.0,36.0,36.0,24.0,15.0,10.0,11.0,9.0,11.0,14.0,16.0,17.0,18.0,14.0,16.0,16.0,15.0,33.0,-999
SO2,010101,St Johns,NL,47.56806,-52.70222,19870108,9.0,6.0,4.0,1.0,1.0,9.0,29.0,13.0,6.0,4.0,1.0,1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
SO2,010101,St Johns,NL,47.56806,-52.70222,19870109,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,-999,1.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870110,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,7.0,9.0,-999,11.0,13.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870111,9.0,11.0,13.0,31.0,25.0,14.0,15.0,13.0,19.0,22.0,13.0,9.0,8.0,8.0,7.0,15.0,27.0,28.0,21.0,16.0,-999,4.0,3.0,4.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870112,3.0,3.0,3.0,4.0,10.0,15.0,9.0,10.0,13.0,9.0,9.0,12.0,3.0,4.0,7.0,5.0,8.0,7.0,5.0,-999,7.0,4.0,4.0,3.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870113,4.0,3.0,4.0,6.0,7.0,8.0,6.0,8.0,7.0,8.0,4.0,8.0,5.0,7.0,6.0,10.0,10.0,11.0,-999,10.0,9.0,10.0,10.0,10.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870114,11.0,13.0,10.0,10.0,8.0,20.0,24.0,21.0,31.0,25.0,19.0,9.0,3.0,6.0,7.0,4.0,5.0,7.0,4.0,5.0,6.0,4.0,5.0,7.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870115,4.0,3.0,5.0,4.0,10.0,17.0,-999,10.0,7.0,6.0,5.0,7.0,5.0,4.0,6.0,15.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870116,6.0,4.0,4.0,7.0,6.0,-999,7.0,10.0,8.0,9.0,9.0,9.0,6.0,28.0,15.0,3.0,5.0,7.0,6.0,7.0,6.0,4.0,6.0,1.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870117,3.0,4.0,6.0,3.0,-999,5.0,4.0,3.0,2.0,3.0,1.0,-999,3.0,1.0,3.0,2.0,7.0,8.0,18.0,19.0,23.0,32.0,26.0,13.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870118,12.0,8.0,9.0,-999,7.0,9.0,16.0,8.0,6.0,7.0,-999,5.0,3.0,2.0,3.0,5.0,10.0,17.0,27.0,41.0,31.0,38.0,32.0,38.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870119,43.0,26.0,-999,45.0,32.0,18.0,13.0,12.0,10.0,-999,2.0,3.0,3.0,1.0,1.0,1.0,39.0,19.0,35.0,55.0,24.0,35.0,18.0,8.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870120,6.0,-999,3.0,2.0,3.0,1.0,2.0,4.0,-999,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870121,-999,2.0,3.0,2.0,2.0,3.0,3.0,-999,5.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,17.0,16.0,8.0,4.0,-999
SO2,010101,St Johns,NL,47.56806,-52.70222,19870122,5.0,5.0,4.0,5.0,5.0,5.0,-999,7.0,7.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0,6.0,7.0,8.0,36.0,22.0,-999,14.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870123,10.0,7.0,6.0,5.0,5.0,-999,4.0,7.0,14.0,11.0,8.0,6.0,6.0,21.0,39.0,60.0,35.0,18.0,28.0,27.0,14.0,-999,31.0,23.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870124,26.0,24.0,31.0,19.0,-999,11.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,10.0,5.0,6.0,5.0,5.0,8.0,8.0,-999,8.0,9.0,7.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870125,6.0,13.0,16.0,-999,20.0,15.0,19.0,10.0,2.0,1.0,0.0,5.0,4.0,7.0,6.0,16.0,19.0,38.0,21.0,-999,41.0,39.0,5.0,3.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870126,4.0,5.0,15.0,-999,20.0,17.0,12.0,12.0,21.0,24.0,13.0,5.0,6.0,4.0,7.0,11.0,27.0,22.0,-999,48.0,21.0,20.0,27.0,5.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870127,3.0,-999,2.0,2.0,2.0,3.0,11.0,8.0,6.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,-999,3.0,6.0,13.0,20.0,9.0,10.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870128,-999,14.0,17.0,10.0,18.0,19.0,22.0,19.0,45.0,59.0,25.0,23.0,15.0,6.0,5.0,6.0,-999,6.0,16.0,18.0,13.0,12.0,13.0,-999
SO2,010101,St Johns,NL,47.56806,-52.70222,19870129,13.0,8.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0,-999,3.0,4.0,3.0,2.0,3.0,2.0,-999,0.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.0
SO2,010101,St Johns,NL,47.56806,-52.70222,19870131,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,-999,3.0,5.0,5.0,12.0,8.0,12.0,-999,36.0,46.0,19.0
