Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010101,St Johns,NL,47.56806,-52.70222,19870101,0.50,0.40,0.20,0.30,0.30,-999,0.20,0.30,0.90,0.50,0.40,0.50,0.80,0.60,0.50,0.60,0.50,0.50,0.70,0.80,0.90,0.60,0.50,0.70
CO,010101,St Johns,NL,47.56806,-52.70222,19870102,0.60,0.30,0.30,0.50,0.70,1.60,2.60,1.20,1.00,1.00,0.50,0.70,0.90,1.00,1.10,2.40,1.50,2.70,2.90,3.40,2.40,1.20,1.00,0.90
CO,010101,St Johns,NL,47.56806,-52.70222,19870103,0.60,0.30,0.30,0.30,0.60,1.00,0.40,0.70,0.60,0.80,0.80,1.10,0.80,0.90,0.80,0.60,0.90,0.80,0.80,1.00,1.10,1.10,0.60,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870104,0.20,0.20,0.10,0.30,0.20,1.00,0.50,0.60,0.80,1.10,1.20,1.30,2.00,2.60,1.80,1.30,1.90,1.60,3.20,2.20,0.60,0.50,0.30,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870105,0.40,0.20,0.20,0.30,0.90,1.90,2.60,0.80,0.60,0.60,0.60,0.60,0.60,0.50,0.70,0.40,0.30,0.30,0.30,0.20,0.20,0.20,0.20,0.10
CO,010101,St Johns,NL,47.56806,-52.70222,19870106,0.20,0.20,0.10,0.10,0.20,0.60,0.70,0.60,0.40,0.60,0.40,0.50,0.50,0.60,0.90,0.80,0.70,0.50,0.30,0.60,0.40,0.30,0.30,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870107,0.10,0.00,0.00,0.10,0.90,2.60,2.50,0.70,0.30,0.60,0.90,1.20,1.70,2.60,3.20,1.80,1.20,1.30,0.90,0.80,1.20,0.60,0.30,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870108,0.00,0.20,0.10,0.10,0.60,3.30,3.70,1.30,1.10,1.40,1.30,-999,-999,-999,-999,1.40,2.80,2.90,1.40,1.00,0.70,0.40,0.30,0.50
CO,010101,St Johns,NL,47.56806,-52.70222,19870109,0.30,0.20,0.10,0.00,0.00,0.00,0.10,0.50,0.70,0.40,0.50,0.50,0.60,-999,0.90,0.50,0.40,0.30,0.40,0.50,0.50,0.20,0.20,0.10
CO,010101,St Johns,NL,47.56806,-52.70222,19870110,0.20,0.30,0.20,0.20,0.10,0.10,0.30,0.30,0.30,0.30,0.40,0.50,0.50,0.60,0.60,0.50,0.80,1.00,1.20,1.40,1.50,3.60,2.80,1.60
CO,010101,St Johns,NL,47.56806,-52.70222,19870111,0.60,0.50,0.30,0.20,0.20,0.10,0.10,0.70,1.30,0.60,1.10,0.60,0.70,0.80,0.60,0.80,0.50,0.30,0.40,0.40,1.40,2.20,1.00,0.40
CO,010101,St Johns,NL,47.56806,-52.70222,19870112,0.30,0.30,0.10,0.10,0.30,0.60,2.70,3.10,1.70,3.20,2.00,1.30,1.80,2.00,2.00,2.00,1.10,1.30,1.00,0.80,0.90,0.90,0.60,0.20
CO,010101,St Johns,NL,47.56806,-52.70222,19870113,0.10,0.20,0.00,0.00,0.20,0.30,0.90,1.10,0.60,0.50,0.70,0.90,0.80,1.00,1.50,1.80,1.00,0.80,0.90,0.60,0.50,0.60,0.40,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870114,0.20,0.10,0.00,0.10,0.20,0.40,1.90,2.20,1.00,0.50,0.70,0.80,-999,0.80,0.80,0.70,0.60,0.70,0.50,0.40,0.30,0.40,0.30,0.10
CO,010101,St Johns,NL,47.56806,-52.70222,19870115,0.00,0.00,0.00,0.00,0.10,0.20,1.20,0.60,0.50,0.40,0.60,0.60,-999,0.80,0.50,0.60,0.60,0.50,0.60,0.70,0.70,0.40,0.50,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870116,0.20,0.20,0.00,0.00,0.10,0.30,1.40,0.80,0.50,0.50,0.80,-999,0.60,0.40,0.70,0.50,0.30,0.30,0.50,0.30,0.20,0.30,0.30,0.20
CO,010101,St Johns,NL,47.56806,-52.70222,19870117,0.20,0.10,0.10,0.10,0.10,0.20,0.30,0.20,0.30,0.40,-999,0.40,0.50,0.50,0.70,0.70,0.60,0.90,1.60,1.40,1.50,1.50,0.30,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870118,0.30,0.20,0.10,0.10,0.10,0.40,0.30,0.30,0.40,-999,0.60,0.40,0.50,0.60,1.00,2.40,3.30,4.20,3.10,2.00,2.10,2.60,2.60,1.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870119,0.30,0.30,0.30,0.40,0.30,0.60,3.20,0.90,-999,0.50,0.90,0.90,0.60,0.50,0.90,0.70,0.80,0.30,0.40,0.30,0.90,0.30,0.10,0.20
CO,010101,St Johns,NL,47.56806,-52.70222,19870120,0.10,0.10,0.10,0.00,0.20,0.30,2.70,-999,0.90,0.90,1.00,1.00,1.50,0.80,2.40,1.60,1.10,0.90,1.00,0.90,1.10,0.60,0.40,0.30
CO,010101,St Johns,NL,47.56806,-52.70222,19870121,0.30,0.30,0.30,0.40,0.60,-999,1.80,0.90,1.00,1.10,1.20,1.20,1.40,1.10,1.00,1.50,0.90,0.80,0.90,0.70,0.60,0.70,0.60,0.20
CO,010101,St Johns,NL,47.56806,-52.70222,19870122,0.10,0.10,0.00,0.10,0.10,-999,0.90,0.60,0.40,0.50,0.60,0.50,0.70,0.70,0.60,1.70,1.10,0.90,1.00,0.70,1.00,1.50,1.00,0.80
CO,010101,St Johns,NL,47.56806,-52.70222,19870123,0.30,0.30,0.20,-999,0.80,5.50,2.40,1.70,1.60,2.30,1.90,2.30,1.20,1.50,2.00,1.00,0.80,2.40,1.60,1.80,2.20,1.40,1.40,1.20
CO,010101,St Johns,NL,47.56806,-52.70222,19870124,0.70,0.80,-999,0.30,0.10,1.00,1.20,0.60,0.30,0.60,0.70,1.20,0.80,0.90,1.00,0.50,0.40,0.50,0.60,0.40,0.40,0.30,0.20,0.10
CO,010101,St Johns,NL,47.56806,-52.70222,19870125,0.40,-999,0.20,0.00,0.20,0.90,0.10,0.30,0.40,0.50,0.40,0.40,0.40,0.50,0.80,1.40,0.70,0.80,0.70,0.50,0.30,0.10,0.20,0.10
CO,010101,St Johns,NL,47.56806,-52.70222,19870126,-999,0.20,0.20,0.10,0.50,2.40,3.10,0.50,0.40,0.50,0.40,0.50,0.60,1.20,3.50,2.70,1.80,3.00,1.80,1.80,0.60,0.60,0.20,-999
