Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,030116,Halifax,NS,44.64861,-63.57583,19790101,1.20,1.10,1.30,1.20,0.70,0.60,0.40,0.40,0.50,0.70,1.00,0.90,1.20,1.00,1.30,1.20,0.60,0.70,0.80,0.70,0.70,0.90,0.90,0.80
CO,030116,Halifax,NS,44.64861,-63.57583,19790102,0.50,0.30,0.30,0.20,0.20,0.20,0.50,1.00,1.70,1.10,1.30,1.60,1.50,2.30,2.00,-999,3.80,2.30,1.20,1.00,1.00,0.60,0.50,0.40
CO,030116,Halifax,NS,44.64861,-63.57583,19790103,0.40,0.40,0.30,0.20,0.30,0.00,0.30,0.70,1.30,0.90,0.70,0.90,1.00,1.70,2.60,2.30,3.60,2.00,1.20,0.90,0.80,1.20,1.00,0.80
CO,030116,Halifax,NS,44.64861,-63.57583,19790104,0.60,0.60,0.40,0.60,0.30,0.40,0.80,1.30,2.60,2.40,3.20,6.30,6.50,4.30,2.90,2.80,5.70,2.30,1.50,1.10,1.30,3.00,1.40,0.90
CO,030116,Halifax,NS,44.64861,-63.57583,19790105,0.40,0.50,0.30,0.30,0.30,0.40,0.60,2.20,3.20,3.10,2.20,2.90,1.60,1.90,1.70,2.00,3.90,2.60,2.10,1.80,2.10,2.00,1.30,1.00
CO,030116,Halifax,NS,44.64861,-63.57583,19790106,1.20,1.60,2.20,1.20,0.70,0.70,0.50,1.40,2.20,1.60,2.20,4.20,4.10,3.20,3.40,4.10,2.50,2.30,2.30,3.60,3.50,2.10,3.60,2.40
CO,030116,Halifax,NS,44.64861,-63.57583,19790107,2.70,2.50,1.40,1.00,0.70,0.50,0.90,1.30,2.00,1.50,2.20,2.90,5.10,4.50,2.90,3.20,2.20,1.50,1.90,1.30,0.90,0.80,0.80,0.70
CO,030116,Halifax,NS,44.64861,-63.57583,19790108,0.90,0.50,0.30,0.50,0.20,0.20,0.30,0.80,-999,1.80,1.50,1.60,1.20,1.40,2.00,1.70,1.70,1.20,0.70,0.50,0.40,0.40,0.60,0.70
CO,030116,Halifax,NS,44.64861,-63.57583,19790109,1.10,0.40,0.30,0.20,0.20,1.60,1.10,1.70,2.60,1.40,1.60,1.40,1.80,1.70,2.60,2.30,2.90,2.60,1.80,1.40,1.50,1.50,1.40,2.20
CO,030116,Halifax,NS,44.64861,-63.57583,19790110,1.80,1.10,1.00,1.20,1.00,0.70,1.30,2.60,3.00,2.60,3.00,1.80,1.40,2.00,1.80,2.10,3.40,2.80,2.70,2.60,1.70,1.50,1.40,0.80
CO,030116,Halifax,NS,44.64861,-63.57583,19790111,0.40,0.40,0.40,0.40,0.30,0.30,0.70,1.60,1.30,1.00,1.50,1.60,2.00,2.10,2.50,2.00,3.00,2.70,1.90,1.40,1.50,2.50,1.60,0.90
CO,030116,Halifax,NS,44.64861,-63.57583,19790112,0.90,0.60,0.40,0.30,0.10,0.20,0.50,2.30,3.10,1.40,1.50,2.10,1.90,2.20,2.30,3.40,4.30,1.90,1.40,1.70,2.10,1.60,1.00,0.90
CO,030116,Halifax,NS,44.64861,-63.57583,19790113,0.80,0.50,0.40,0.40,0.40,0.30,0.40,0.50,0.80,1.60,1.80,2.20,3.10,2.40,4.20,5.60,3.80,2.50,1.40,1.30,1.20,1.10,1.10,0.80
CO,030116,Halifax,NS,44.64861,-63.57583,19790114,0.80,0.70,0.50,0.30,0.20,0.10,0.30,0.20,0.30,0.30,0.70,0.90,1.70,4.80,2.40,1.10,1.70,0.80,0.70,0.60,0.70,0.70,0.70,0.70
CO,030116,Halifax,NS,44.64861,-63.57583,19790115,0.60,0.70,0.50,0.50,0.60,0.60,1.00,1.80,2.00,1.80,1.60,1.70,1.30,1.80,-999,1.20,1.70,1.40,1.00,0.80,0.70,0.90,0.80,0.80
CO,030116,Halifax,NS,44.64861,-63.57583,19790116,0.50,0.50,0.30,0.20,0.10,0.20,0.50,2.60,4.90,3.10,2.60,2.20,2.60,3.50,2.90,2.60,3.60,2.80,2.20,1.70,1.40,1.80,1.60,1.10
CO,030116,Halifax,NS,44.64861,-63.57583,19790117,0.70,0.40,0.20,0.20,0.30,0.30,0.40,1.10,1.80,1.00,1.40,1.20,1.70,1.40,1.30,2.00,5.30,3.70,1.80,1.50,1.50,2.20,1.70,1.60
CO,030116,Halifax,NS,44.64861,-63.57583,19790118,1.00,1.10,0.60,0.40,0.20,0.40,0.50,1.30,1.70,1.40,1.30,1.70,1.60,1.00,1.00,0.80,0.80,0.50,0.50,0.40,0.30,0.30,0.30,0.20
CO,030116,Halifax,NS,44.64861,-63.57583,19790119,0.20,0.20,0.20,0.10,0.20,0.20,0.30,0.60,0.80,1.00,0.90,0.90,0.70,0.70,0.90,0.90,1.50,0.80,0.70,0.70,0.60,0.80,0.80,0.70
