Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,19890101,5.40,5.30,5.50,4.50,1.40,1.00,0.40,0.30,0.40,0.40,0.30,0.40,0.50,0.50,0.50,0.50,0.60,0.70,0.70,0.80,0.80,0.80,0.90,0.80
CO,010102,St Johns,NL,47.56038,-52.7115,19890102,0.70,0.70,0.60,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.40,0.50,0.60,0.70,0.70,0.80,1.10,1.50,2.00,2.20,2.30,1.70,1.50,1.40
CO,010102,St Johns,NL,47.56038,-52.7115,19890103,1.30,1.30,1.30,1.20,0.90,0.80,0.90,1.40,5.50,8.60,2.00,2.20,2.00,1.80,1.50,1.50,1.00,1.00,0.60,0.40,0.30,0.30,0.50,0.30
CO,010102,St Johns,NL,47.56038,-52.7115,19890104,0.30,0.30,0.20,0.20,0.30,0.30,0.30,0.50,0.60,0.60,0.50,0.70,0.70,1.00,1.10,0.90,1.50,2.00,1.30,1.10,1.00,0.80,0.70,0.60
CO,010102,St Johns,NL,47.56038,-52.7115,19890105,0.60,1.10,0.80,0.10,0.10,0.20,0.40,0.50,0.30,0.20,0.20,0.10,0.20,0.20,0.20,0.20,0.40,0.50,0.40,0.40,0.40,0.50,0.40,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,19890106,0.40,0.50,0.40,0.40,0.40,0.40,0.50,0.50,0.80,0.80,0.80,1.30,1.90,1.60,1.00,1.70,1.30,1.40,0.80,1.00,1.30,1.30,1.50,1.30
CO,010102,St Johns,NL,47.56038,-52.7115,19890107,1.00,1.00,1.30,0.80,0.50,0.40,0.50,0.50,0.50,0.60,0.60,0.60,0.70,0.90,1.00,1.20,1.30,1.30,1.20,1.20,1.10,1.40,1.50,1.90
CO,010102,St Johns,NL,47.56038,-52.7115,19890108,1.60,1.00,0.90,0.80,0.50,0.60,0.60,0.60,0.90,0.80,1.40,1.00,0.70,0.50,0.60,0.60,0.60,0.50,0.50,0.40,0.40,0.40,0.30,0.30
CO,010102,St Johns,NL,47.56038,-52.7115,19890109,0.30,0.30,0.30,0.20,0.10,0.10,0.10,0.20,0.20,0.10,0.00,0.10,0.30,0.50,0.50,0.40,0.40,0.60,0.60,0.60,0.70,0.60,0.60,0.60
CO,010102,St Johns,NL,47.56038,-52.7115,19890110,0.60,0.60,0.40,0.40,0.40,0.50,0.50,0.50,0.70,0.60,0.60,0.50,0.70,0.80,0.70,0.90,1.10,1.50,0.90,0.90,0.90,1.20,0.90,0.80
CO,010102,St Johns,NL,47.56038,-52.7115,19890111,0.90,1.00,1.00,0.70,0.50,0.60,0.50,0.60,0.70,1.10,1.40,0.60,0.50,0.50,0.60,0.60,0.80,0.90,1.20,1.10,1.10,1.00,0.80,0.80
CO,010102,St Johns,NL,47.56038,-52.7115,19890112,0.60,0.80,0.60,0.50,0.40,0.50,0.50,0.50,0.70,0.80,0.90,0.60,0.90,0.90,1.00,0.90,0.90,1.00,1.70,1.80,1.40,1.30,1.00,0.80
CO,010102,St Johns,NL,47.56038,-52.7115,19890113,0.70,0.60,0.60,0.60,0.50,0.40,0.40,0.40,0.30,0.30,0.30,0.20,0.20,0.20,0.30,0.50,0.60,0.70,0.90,0.70,0.70,0.80,0.90,0.90
CO,010102,St Johns,NL,47.56038,-52.7115,19890114,0.90,0.90,1.20,0.80,0.70,0.50,0.50,0.50,0.60,0.60,0.70,0.80,0.80,0.90,1.00,1.00,1.20,1.10,1.20,0.90,0.80,1.00,1.00,1.10
CO,010102,St Johns,NL,47.56038,-52.7115,19890115,1.10,1.00,0.90,0.90,0.90,0.60,0.50,0.50,0.50,0.70,0.60,0.70,0.70,0.70,0.70,0.70,0.60,0.70,0.70,0.60,0.60,0.60,0.50,0.40
CO,010102,St Johns,NL,47.56038,-52.7115,19890116,0.30,0.20,0.20,0.20,0.20,0.10,0.10,0.10,0.20,0.40,0.50,0.60,0.70,0.60,1.00,0.80,0.70,1.00,2.30,1.60,1.20,1.00,1.30,1.00
CO,010102,St Johns,NL,47.56038,-52.7115,19890117,0.90,0.70,0.70,0.50,0.50,0.40,0.40,0.80,0.90,3.40,4.90,2.00,2.90,3.20,5.10,3.10,3.10,2.20,2.70,2.80,2.20,2.20,1.90,1.70
CO,010102,St Johns,NL,47.56038,-52.7115,19890118,1.50,1.20,1.00,0.70,0.50,0.60,0.60,0.70,0.90,2.50,3.60,2.30,0.70,0.60,0.70,0.70,0.50,0.70,1.20,0.70,0.60,0.80,0.70,0.70
CO,010102,St Johns,NL,47.56038,-52.7115,19890119,0.70,0.60,0.60,0.70,0.60,0.50,0.50,0.60,0.70,2.60,2.80,0.80,0.90,1.70,2.30,-999,2.10,3.90,4.00,1.80,1.20,1.70,1.10,1.50
CO,010102,St Johns,NL,47.56038,-52.7115,19890120,1.30,1.00,1.20,1.70,0.30,0.20,0.20,0.50,0.40,1.20,2.30,2.20,2.60,2.60,2.30,1.70,3.30,2.50,1.80,1.90,0.90,0.80,1.00,1.00
CO,010102,St Johns,NL,47.56038,-52.7115,19890121,1.00,1.70,1.50,1.60,1.40,0.80,0.80,0.80,0.60,0.60,0.60,0.80,0.60,0.60,0.50,0.50,0.70,0.90,0.80,0.70,0.50,0.50,0.50,0.50
CO,010102,St Johns,NL,47.56038,-52.7115,19890122,0.50,0.50,0.60,0.80,0.60,0.40,0.40,0.40,0.40,0.50,0.50,0.50,0.50,0.60,0.60,0.60,0.70,0.70,0.80,0.80,0.80,0.70,0.80,0.80
CO,010102,St Johns,NL,47.56038,-52.7115,19890123,0.80,0.80,0.70,0.70,0.60,0.70,0.60,0.60,0.70,1.30,1.30,0.80,-999,1.60,0.90,0.90,0.90,1.30,1.80,1.60,1.30,1.40,1.30,1.30
CO,010102,St Johns,NL,47.56038,-52.7115,19890124,1.30,1.40,1.40,1.30,1.00,1.20,1.20,1.30,1.50,2.80,3.80,1.90,1.40,1.50,1.70,1.40,1.40,3.80,2.20,1.80,1.50,1.40,1.70,1.60
CO,010102,St Johns,NL,47.56038,-52.7115,19890125,1.50,1.20,1.20,1.00,1.00,0.90,0.80,0.80,0.80,1.70,1.80,1.50,1.20,1.30,1.20,1.20,1.20,1.40,1.00,0.90,0.80,0.70,0.70,0.90
CO,010102,St Johns,NL,47.56038,-52.7115,19890126,0.70,1.10,0.80,0.70,0.60,0.60,0.70,0.70,1.50,1.00,1.00,1.00,1.20,1.10,1.30,1.10,1.50,2.00,1.70,1.60,1.40,1.20,1.20,1.00
