Pollutant:, NO
Units:, ppb
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
NO,050104,Montréal,QC,45.520532,-73.563178,19800101,80.0,50.0,60.0,50.0,40.0,20.0,10.0,20.0,20.0,20.0,30.0,50.0,40.0,30.0,50.0,50.0,100.0,80.0,70.0,70.0,50.0,60.0,50.0,80.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800102,90.0,210.0,180.0,50.0,50.0,50.0,60.0,60.0,50.0,20.0,10.0,10.0,20.0,40.0,60.0,90.0,100.0,90.0,140.0,110.0,50.0,30.0,30.0,30.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800103,20.0,10.0,10.0,10.0,10.0,10.0,20.0,40.0,60.0,60.0,60.0,50.0,70.0,80.0,70.0,80.0,80.0,110.0,80.0,70.0,60.0,80.0,50.0,40.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800104,50.0,30.0,20.0,10.0,20.0,30.0,40.0,60.0,100.0,90.0,60.0,50.0,60.0,50.0,60.0,80.0,110.0,130.0,160.0,150.0,170.0,180.0,260.0,250.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800105,200.0,180.0,130.0,80.0,30.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,60.0,40.0,30.0,40.0,40.0,40.0,40.0,40.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800106,60.0,50.0,60.0,40.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,50.0,60.0,70.0,30.0,30.0,30.0,30.0,40.0,40.0,50.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800107,40.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,40.0,30.0,30.0,30.0,30.0,20.0,40.0,40.0,30.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800108,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,40.0,40.0,30.0,40.0,30.0,40.0,40.0,40.0,70.0,90.0,100.0,100.0,50.0,20.0,30.0,20.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800109,10.0,10.0,10.0,10.0,10.0,10.0,20.0,50.0,90.0,80.0,50.0,60.0,50.0,40.0,40.0,60.0,130.0,140.0,70.0,60.0,50.0,50.0,40.0,60.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800110,50.0,40.0,30.0,10.0,10.0,20.0,30.0,80.0,100.0,100.0,110.0,80.0,70.0,70.0,80.0,90.0,90.0,80.0,40.0,40.0,40.0,40.0,30.0,20.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800111,20.0,20.0,20.0,20.0,30.0,30.0,60.0,70.0,70.0,60.0,70.0,60.0,50.0,50.0,50.0,50.0,60.0,60.0,50.0,50.0,50.0,50.0,40.0,20.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800112,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,30.0,20.0,30.0,30.0,30.0,20.0,30.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800113,30.0,20.0,20.0,30.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0,40.0,30.0,40.0,30.0,20.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800114,10.0,10.0,20.0,20.0,10.0,20.0,30.0,60.0,90.0,100.0,100.0,120.0,130.0,160.0,190.0,190.0,200.0,210.0,100.0,130.0,110.0,70.0,120.0,190.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800115,190.0,160.0,200.0,290.0,230.0,130.0,160.0,160.0,160.0,140.0,100.0,60.0,40.0,70.0,70.0,70.0,90.0,70.0,60.0,60.0,40.0,30.0,20.0,20.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800116,20.0,20.0,10.0,10.0,10.0,10.0,20.0,40.0,40.0,50.0,40.0,40.0,30.0,50.0,40.0,50.0,70.0,60.0,40.0,40.0,60.0,30.0,40.0,30.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800117,30.0,20.0,20.0,20.0,10.0,10.0,20.0,40.0,70.0,70.0,60.0,60.0,80.0,70.0,80.0,100.0,110.0,110.0,80.0,90.0,90.0,90.0,80.0,70.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800118,100.0,100.0,100.0,100.0,70.0,90.0,130.0,60.0,130.0,200.0,180.0,200.0,190.0,240.0,140.0,110.0,130.0,130.0,140.0,110.0,140.0,130.0,90.0,90.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800119,60.0,70.0,60.0,60.0,60.0,40.0,40.0,50.0,60.0,70.0,60.0,50.0,60.0,50.0,60.0,60.0,60.0,40.0,40.0,40.0,30.0,30.0,30.0,40.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800120,30.0,30.0,20.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,30.0,40.0,40.0,40.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800121,30.0,20.0,10.0,10.0,10.0,10.0,20.0,50.0,80.0,50.0,40.0,50.0,50.0,50.0,50.0,60.0,80.0,100.0,90.0,80.0,60.0,60.0,60.0,50.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800122,40.0,30.0,30.0,40.0,30.0,60.0,50.0,90.0,80.0,80.0,70.0,40.0,30.0,40.0,40.0,30.0,40.0,80.0,60.0,90.0,80.0,80.0,130.0,190.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800123,190.0,120.0,110.0,60.0,50.0,60.0,80.0,150.0,160.0,160.0,120.0,50.0,40.0,20.0,30.0,30.0,60.0,100.0,90.0,50.0,50.0,40.0,30.0,30.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800124,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,80.0,70.0,60.0,60.0,50.0,40.0,30.0,30.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800125,20.0,20.0,10.0,10.0,10.0,10.0,20.0,40.0,70.0,80.0,60.0,50.0,40.0,40.0,50.0,60.0,80.0,110.0,130.0,90.0,90.0,100.0,70.0,70.0
NO,050104,Montréal,QC,45.520532,-73.563178,19800126,40.0,30.0,30.0,40.0,10.0,10.0,10.0,10.0,10.0,30.0,30.0,30.0,30.0,30.0,30.0,40.0,40.0,40.0,50.0,40.0,40.0,30.0,30.0,40.0
