Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,030116,Halifax,NS,44.64861,-63.57583,19800101,0.80,1.00,1.30,1.10,0.70,0.20,0.30,0.20,0.30,0.30,0.40,0.80,0.40,0.60,0.70,-999,0.50,0.60,0.60,1.90,1.30,2.00,1.60,1.00
CO,030116,Halifax,NS,44.64861,-63.57583,19800102,0.90,1.00,0.70,0.30,0.20,0.40,1.20,4.00,5.60,4.80,4.50,4.80,7.50,6.60,4.30,4.40,6.90,3.10,2.60,3.00,0.60,0.60,0.70,0.40
CO,030116,Halifax,NS,44.64861,-63.57583,19800103,0.20,0.20,0.20,0.20,0.30,0.30,0.40,0.40,0.70,0.70,0.70,0.90,0.80,0.90,0.80,1.70,1.30,0.70,0.50,0.70,0.60,1.30,0.60,0.50
CO,030116,Halifax,NS,44.64861,-63.57583,19800104,0.40,0.20,0.20,0.20,0.10,0.20,0.60,1.60,1.70,1.30,1.70,1.50,1.90,2.30,4.40,2.00,1.20,1.70,1.90,1.40,1.30,1.30,0.70,0.60
CO,030116,Halifax,NS,44.64861,-63.57583,19800105,0.40,0.20,0.20,0.20,0.30,0.40,1.00,0.70,1.10,1.30,1.40,2.30,2.60,0.90,0.80,0.90,0.60,0.50,0.50,0.40,0.40,0.50,0.30,0.10
CO,030116,Halifax,NS,44.64861,-63.57583,19800106,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.20,0.20,0.20,0.20,0.30,0.40,0.30,0.40,0.30,0.50,0.70,0.80,0.60,0.80,1.20,0.70,0.50
CO,030116,Halifax,NS,44.64861,-63.57583,19800107,0.10,0.20,0.20,0.30,2.20,4.90,5.30,4.10,4.40,2.60,3.10,3.50,3.80,2.70,0.70,0.60,0.50,0.70,0.40,0.50,0.60,0.30,0.30,0.20
CO,030116,Halifax,NS,44.64861,-63.57583,19800108,0.30,0.30,0.60,1.10,2.90,3.00,2.00,1.60,1.90,1.60,1.40,2.30,3.50,2.30,1.50,1.70,1.30,1.00,1.10,0.90,1.10,0.50,0.20,0.20
CO,030116,Halifax,NS,44.64861,-63.57583,19800109,0.20,0.20,0.50,1.90,3.70,3.10,2.20,2.90,1.70,2.40,2.50,3.20,3.70,3.20,2.70,1.20,1.50,0.90,0.50,0.30,0.10,0.30,0.20,0.20
CO,030116,Halifax,NS,44.64861,-63.57583,19800110,0.20,0.20,0.50,0.60,0.80,0.40,0.80,0.90,1.10,1.10,1.30,2.40,2.40,3.20,1.50,1.90,1.50,0.70,2.10,1.80,0.50,0.30,0.20,0.20
